zone_name,cycle_number,start_datetime,end_datetime,start_frame,end_frame,elapsed_seconds,adjusted_time_seconds,created_at
A2_Assemble,1,2025-10-19 05:58:30.604,2025-10-19 05:58:39.885,211,335,5.167,5.0,2025-10-19 05:58:39
A2_Assemble,2,2025-10-19 05:58:59.525,2025-10-19 05:59:07.912,590,702,4.667,4.5,2025-10-19 05:59:07
A2_Assemble,3,2025-10-19 05:59:26.290,2025-10-19 05:59:35.576,931,1053,5.083,4.917,2025-10-19 05:59:35
A2_Assemble,4,2025-10-19 05:59:53.410,2025-10-19 06:00:02.950,1283,1406,5.125,4.958,2025-10-19 06:00:02
A2_Assemble,5,2025-10-19 06:00:20.676,2025-10-19 06:00:28.385,1634,1735,4.208,4.042,2025-10-19 06:00:28
A2_Assemble,6,2025-10-19 06:00:44.900,2025-10-19 06:00:50.806,1946,2029,3.458,3.292,2025-10-19 06:00:50
A2_Assemble,10,2025-10-19 06:02:12.758,2025-10-19 06:02:22.531,3093,3218,5.208,5.042,2025-10-19 06:02:22
A2_Assemble,11,2025-10-19 06:02:40.150,2025-10-19 06:02:50.267,3451,3576,5.208,5.042,2025-10-19 06:02:50
A_Assemble,1,2025-10-19 05:58:15.906,2025-10-19 05:58:25.273,18,142,5.167,5.0,2025-10-19 05:58:25
A_Assemble,2,2025-10-19 05:58:45.684,2025-10-19 05:58:56.401,405,547,5.917,5.75,2025-10-19 05:58:56
A_Assemble,3,2025-10-19 05:59:13.590,2025-10-19 05:59:22.991,765,889,5.167,5.0,2025-10-19 05:59:22
A_Assemble,4,2025-10-19 05:59:39.782,2025-10-19 05:59:49.167,1109,1233,5.167,5.0,2025-10-19 05:59:49
A_Assemble,5,2025-10-19 06:00:07.597,2025-10-19 06:00:17.902,1466,1599,5.542,5.375,2025-10-19 06:00:17
A_Assemble,6,2025-10-19 06:00:32.734,2025-10-19 06:00:40.598,1787,1895,4.5,4.333,2025-10-19 06:00:40
A_Assemble,7,2025-10-19 06:00:54.964,2025-10-19 06:01:03.917,2077,2197,5.0,4.833,2025-10-19 06:01:03
A_Assemble,10,2025-10-19 06:02:00.167,2025-10-19 06:02:09.289,2931,3053,5.083,4.917,2025-10-19 06:02:09
A_Assemble,11,2025-10-19 06:02:26.685,2025-10-19 06:02:35.735,3273,3393,5.0,4.833,2025-10-19 06:02:35
B2_Assemble,1,2025-10-19 05:58:29.773,2025-10-19 05:58:38.139,201,313,4.667,4.5,2025-10-19 05:58:38
B2_Assemble,2,2025-10-19 05:58:59.241,2025-10-19 05:59:07.609,586,698,4.667,4.5,2025-10-19 05:59:07
B2_Assemble,3,2025-10-19 05:59:27.672,2025-10-19 05:59:42.673,949,1145,8.167,8.0,2025-10-19 05:59:42
B2_Assemble,4,2025-10-19 06:00:02.649,2025-10-19 06:00:17.819,1402,1598,8.167,8.0,2025-10-19 06:00:17
B2_Assemble,5,2025-10-19 06:00:33.464,2025-10-19 06:00:51.339,1797,2035,9.917,9.75,2025-10-19 06:00:51
B2_Assemble,9,2025-10-19 06:02:12.758,2025-10-19 06:02:22.543,3093,3218,5.208,5.042,2025-10-19 06:02:22
B2_Assemble,10,2025-10-19 06:02:39.265,2025-10-19 06:02:49.567,3439,3568,5.375,5.208,2025-10-19 06:02:49
B_Assemble,1,2025-10-19 05:58:15.906,2025-10-19 05:58:24.306,18,130,4.667,4.5,2025-10-19 05:58:24
B_Assemble,2,2025-10-19 05:58:45.175,2025-10-19 05:58:54.973,399,529,5.417,5.25,2025-10-19 05:58:54
B_Assemble,3,2025-10-19 05:59:13.590,2025-10-19 05:59:23.454,765,895,5.417,5.25,2025-10-19 05:59:23
B_Assemble,4,2025-10-19 05:59:46.226,2025-10-19 05:59:58.512,1193,1352,6.625,6.458,2025-10-19 05:59:58
B_Assemble,5,2025-10-19 06:00:20.841,2025-10-19 06:00:30.132,1636,1756,5.0,4.833,2025-10-19 06:00:30
B_Assemble,6,2025-10-19 06:00:54.964,2025-10-19 06:01:03.926,2077,2197,5.0,4.833,2025-10-19 06:01:03
B_Assemble,9,2025-10-19 06:02:00.167,2025-10-19 06:02:09.299,2931,3053,5.083,4.917,2025-10-19 06:02:09
B_Assemble,10,2025-10-19 06:02:26.685,2025-10-19 06:02:35.896,3273,3395,5.083,4.917,2025-10-19 06:02:35
